title,url,venue,database_searched,field,year,total_search_hits,industry_1st_author,micro_view,macro_view
"Estimating Average Causal Effects Under General Interference, with Application to a Social Network Experiment.",https://projecteuclid.org/journals/annals-of-applied-statistics/volume-11/issue-3/The-problem-of-infra-marginality-in-outcome-tests-for-discrimination/10.1214/17-AOAS1058.full,Annals of Applied Statistics,Project Euclid,Statistics,2017,,0,1,0
Design and Analysis of Experiments in Networks: Reducing Bias from Interference,https://www.degruyterbrill.com/document/doi/10.1515/jci-2015-0021/html?lang=en&srsltid=AfmBOorwKNlp3KFpuWCxgfG0BMB2TM32pqyGzKtOUViv3s6KSKL08CBV,Statistical Science,Project Euclid,Statistics,2017,,0,1,0
Principles of Experimental Design for Big Data Analysis,https://projecteuclid.org/journals/statistical-science/volume-32/issue-3/Principles-of-Experimental-Design-for-Big-Data-Analysis/10.1214/16-STS604.full,Statistical Science,Project Euclid,Statistics,2017,,0,1,0
Model-assisted design of experiments in the presence of network-correlated outcomes,https://academic.oup.com/biomet/article/105/4/849/5066791,Biometrika,Project Euclid,Statistics,2018,,0,1,0
Minimax designs for causal effects in temporal experiments with treatment habituation,google.com/search?q=Minimax+designs+for+causal+effects+in+temporal+experiments+with+treatment+habituation&rlz=1C5CHFA_enGB1092GB1092&oq=Minimax+designs+for+causal+effects+in+temporal+experiments+with+treatment+habituation&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBBzYxOWowajSoAgCwAgA&sourceid=chrome&ie=UTF-8,Biometrika,Project Euclid,Statistics,2019,504,0,1,0
Testing for arbitrary interference on experimentation platforms,https://academic.oup.com/biomet/article/106/4/929/5578431?searchresult=1,Biometrika,Project Euclid,Statistics,2019,,0,0,1
Sequential Bayesian Experimental Design for Implicit Models via Mutual Information,https://projecteuclid.org/journals/bayesian-analysis/volume-16/issue-3/Sequential-Bayesian-Experimental-Design-for-Implicit-Models-via-Mutual-Information/10.1214/20-BA1225.full,Bayesian Analysis,Project Euclid,Statistics,2021,,0,1,0
Asymptotically optimal sequential multiple testing with asynchronous decisions,https://projecteuclid.org/journals/bernoulli/volume-31/issue-1/Asymptotically-optimal-sequential-multiple-testing-with-asynchronous-decisions/10.3150/24-BEJ1727.short,Bernoulli,Project Euclid,Statistics,2025,,0,1,0
A Bayesian Decision Theoretic Model of Sequential Experimentation with Delayed Response,https://academic.oup.com/jrsssb/article/79/5/1439/7041089?searchresult=1,JRSS:B,Royal Statistical Society,Statistics,2017,,0,1,0
Long-term causal inference under persistent confounding via data combination,https://academic.oup.com/jrsssb/article/87/2/362/7811312?searchresult=1,JRSS:B,Royal Statistical Society,Statistics,2024,,0,1,0
Policy evaluation for temporal and/or spatial dependent experiments,https://academic.oup.com/jrsssb/article/86/3/623/7511800?searchresult=1,JRSS:B,Royal Statistical Society,Statistics,2024,,0,1,0
Adaptive experiments toward learning treatment effect heterogeneity,google.com/url?q=https://academic.oup.com/jrsssb/article-abstract/87/4/1055/8037939?redirectedFrom%3Dfulltext&sa=D&source=editors&ust=1763749405975465&usg=AOvVaw2vBRgyhpLlsjWq_noXWpHG,JRSS:B,Royal Statistical Society,Statistics,2025,24,0,1,0
Unwitting Participants at Our Expense: A/B Testing and Digital Exploitation,https://journals.sagepub.com/doi/full/10.1177/00076503231212842,Business & Society,SAGE journals,Organizational Behavior,2023,,0,1,0
Where A/B Testing Goes Wrong: How Divergent Delivery Affects What Online Experiments Cannot (and Can) Tell You About How Customers Respond to Advertising,https://journals.sagepub.com/doi/abs/10.1177/00222429241275886,Journal of Marketing,SAGE journals,Marketing,2024,,0,1,0
Experimentation Culture: Defend Learning against Intellectual Laziness,https://journals.sagepub.com/doi/full/10.1177/26941058241301626,Management and Business Review,SAGE journals,Organizational Behavior,2024,,0,1,0
Methodological Pluralism and Innovation in Data-Driven Organizations*,https://journals.sagepub.com/doi/full/10.1177/00018392251313737,Administrative Science Quarterly,SAGE journals,Organizational Behavior,2025,53,0,0,1
We’re doing it live: A multi-method empirical study on continuous experimentation,https://www.sciencedirect.com/science/article/abs/pii/S0950584917302136,Information and Software Technology,ScienceDirect,Computer Science,2018,,0,1,0
Multi-armed bandits in the wild: Pitfalls and strategies in online experiments,https://www.sciencedirect.com/science/article/abs/pii/S0950584919301053,Information and Software Technology,ScienceDirect,Computer Science,2019,,0,1,0
Controlled experimentation in continuous experimentation: Knowledge and challenges,https://www.sciencedirect.com/science/article/pii/S0950584921000367,Information and Software Technology,ScienceDirect,Computer Science,2021,,0,1,0
Comparison of multi-criteria decision-making methods for online controlled experiments in a launch decision-making framework,https://www.sciencedirect.com/science/article/abs/pii/S0950584922002245,Information and Software Technology,ScienceDirect,Computer Science,2022,405,0,1,0
The A/B testing problem with Gaussian priors☆,https://www.sciencedirect.com/science/article/abs/pii/S002205312300042X,Journal of Economic Theory,ScienceDirect,Economics,2023,,0,0,1
A multi-objective evolutionary approach towards automated online controlled experiments,https://www.sciencedirect.com/science/article/abs/pii/S0164121223000985,Journal of Systems and Software,ScienceDirect,Computer Science,2023,,0,1,0
Decentralized decision-making and scaled autonomy at Spotify.,https://www.sciencedirect.com/science/article/pii/S0164121223000444,Journal of Systems and Software,ScienceDirect,Computer Science,2023,,0,0,1
A/B testing: A systematic literature review☆,https://www.sciencedirect.com/science/article/pii/S0164121224000542,Journal of Systems and Software,ScienceDirect,Computer Science,2024,,0,1,0
"Personalization and targeting: how to experiment, learn & optimize",https://www.sciencedirect.com/science/article/pii/S016781162500062X,International Journal of Research in Marketing,ScienceDirect,Marketing,2025,,0,1,0
Overcoming experimentation challenges in software ecosystems of large product and service organizations: A participatory action research study,https://www.sciencedirect.com/science/article/abs/pii/S0164121225002195,Journal of Systems and Software,ScienceDirect,Computer Science,2025,,1,1,0
Minimax and the value of information,https://link.springer.com/article/10.1007/s11238-014-9442-3,Theory and Decision,Springer,Economics,2015,,0,1,0
The value of information in stopping problems,https://link.springer.com/article/10.1007/s00199-023-01543-8,Economic Theory,Springer,Economics,2024,,0,1,0
A/B Testing with Fat Tails,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3171224,SSRN,SSRN,Preprints,2019,,0,0,1
Test & Roll: Profit-Maximizing A/B Tests,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3274875,SSRN,SSRN,Preprints,2019,,0,0,1
Limiting Bias from Test-Control Interference in Online Marketplace Experiments,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3583596,SSRN,SSRN,Preprints,2020,,0,1,0
Ensembling Experiments to Optimize Interventions along Customer Journey: A Reinforcement Learning Approach,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3939073,SSRN,SSRN,Preprints,2021,,0,1,0
A Multi-Objective Evolutionary Approach Towards Automated Online Controlled Experiments,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4252209,SSRN,SSRN,Preprints,2022,,0,1,0
A Two-Part Machine Learning Approach to Characterizing Network Interference in A/B Testing,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4212172,SSRN,SSRN,Preprints,2022,,0,1,0
"Non-stationary A/B Tests: Optimal Variance Reduction, Bias Correction, and Valid Inference",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4557431,SSRN,SSRN,Preprints,2022,,0,1,0
A/B Testing: A Systematic Literature Review,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4549495,SSRN,SSRN,Preprints,2023,,0,1,0
Asymptotically Optimal Adaptive A/B tests for Average Treatment Effect,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4642974,SSRN,SSRN,Preprints,2023,,0,1,0
Optimal Prototyping on Experimentation Platforms,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4630349,SSRN,SSRN,Preprints,2023,,0,0,1
A/B Test and Online Experiment Under Diminishing Marginal Effects: Regret Minimization and Statistical Inference,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4640583,SSRN,SSRN,Preprints,2024,,0,1,0
Large Language Model Assisted Experiment Design with Generative Human-Behavior Agents,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4874140,SSRN,SSRN,Preprints,2024,,0,1,0
Decision Analytics of Switchback Experiments: A Robust Optimization Approach,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5245482,SSRN,SSRN,Preprints,2025,,0,1,0
Designing Causal Experiments in Multiunit Enterprises with a Small Sample and Strategic Agents,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5119999,SSRN,SSRN,Preprints,2025,,0,1,0
Ranking by Lifts: A Cost-Benefit Approach to Large-Scale A/B Tests,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5124306,SSRN,SSRN,Preprints,2025,,0,1,0
The Interplay between Design and Analysis of Experiments in Complex Environments: Interference and Randomization Tests,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5239355,SSRN,SSRN,Preprints,2025,,0,1,0
Informative or Actionable? Implementation Constraints And Business Experimentation,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4945550,SSRN,SSRN,Preprints,2025,,0,0,1
A Nonparametric Bayesian Analysis of Heterogenous Treatment Effects in Digital Experimentation,https://www.tandfonline.com/doi/full/10.1080/07350015.2016.1172013,JBES,Taylor Francis,Statistics,2016,,0,1,
"Funnel testing in webpage optimisation: representation, design and analysis",https://www.tandfonline.com/doi/full/10.1080/24754269.2017.1332964,Statistical Theory and Related Fields,Taylor Francis,Statistics,2017,,0,1,0
Factorial Designs for Online Experiments,https://www.tandfonline.com/doi/full/10.1080/00401706.2019.1701556,Technometrics,Taylor Francis,Statistics,2019,,0,1,0
Dynamic Causal Effects Evaluation in A/B Testing with a Reinforcement Learning Framework,https://www.tandfonline.com/doi/full/10.1080/01621459.2022.2027776,JASA,Taylor Francis,Statistics,2022,111,0,1,0
Locally Optimal Design for A/B Tests in the Presence of Covariates and Network Dependence,https://www.tandfonline.com/doi/full/10.1080/00401706.2022.2046169,Technometrics,Taylor Francis,Statistics,2022,,0,1,0
Novelty and Primacy: A Long-Term Estimator for Online Experiments,https://www.tandfonline.com/doi/full/10.1080/00401706.2022.2124309,Technometrics,Taylor Francis,Statistics,2022,,0,1,0
Toward Optimal Variance Reduction in Online Controlled Experiments,https://www.tandfonline.com/doi/full/10.1080/00401706.2022.2142670,Technometrics,Taylor Francis,Statistics,2022,,0,1,0
Comparative Probability Metrics: Using Posterior Probabilities to Account for Practical Equivalence in A/B tests,https://www.tandfonline.com/doi/full/10.1080/00031305.2021.2000495,The American Statistician,Taylor Francis,Statistics,2022,,0,1,0
Statistical Challenges in Online Controlled Experiments: A Review of A/B Testing Methodology,https://www.tandfonline.com/doi/full/10.1080/00031305.2023.2257237,The American Statistician,Taylor Francis,Statistics,2023,,0,1,0
Rerandomization Algorithms for Optimal Designs of Network A/B Tests,https://www.tandfonline.com/doi/full/10.1080/00401706.2025.2505438,Technometrics,Taylor Francis,Statistics,2025,,0,1,0
Multi-armed bandit experiment in the online service economy,https://onlinelibrary.wiley.com/doi/10.1002/asmb.2104,Applied Stochastic Models in Business and Industry,Wiley,Operations Research,2015,126,0,1,0
Pareto Optimal Proxy Metrics,https://onlinelibrary.wiley.com/doi/10.1002/asmb.70003,Applied Stochastic Models in Business and Industry,Wiley,Statistics,2025,,0,1,0
Experimentation growth: Evolving trustworthy A/B testing capabilities in online software companies,https://onlinelibrary.wiley.com/doi/10.1002/smr.2113,Software: Evolution and Process,Wiley Online Library,Computer Science,2018,55,0,0,1
Efficient and robust sequential decision making algorithms,https://onlinelibrary.wiley.com/doi/10.1002/aaai.12186,AI Magazine,Wiley Online Library,Computer Science,2024,,0,1,0
t-Testing the Waters: Empirically Validating Assumptions for Reliable A/B-Testing,https://dl.acm.org/doi/10.1145/3705328.3759307,RecSys,,Computer Science,2025,,1,1,0
,,71,,10,,16624,110,306,49
